months_as_customer,age,policy_number,policy_bind_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,injury_claim,fraud_reported
196,39,143972,1992-08-02,IN,500/1000,2000,1475.73,0,477670,FEMALE,High School,handlers-cleaners,camping,own-child,57000,-27300,VA,Columbus,8101 3rd Ridge,8,3,?,2,6040,N
460,62,183430,2002-06-25,IN,250/500,1000,1187.96,4000000,618845,MALE,JD,other-service,bungie-jumping,own-child,0,0,NY,Columbus,5380 Pine St,20,3,NO,1,0,N
217,41,431876,2005-11-27,IL,500/1000,2000,875.15,0,442479,FEMALE,Associate,machine-op-inspct,skydiving,own-child,46700,0,SC,Arlington,8957 Weaver Drive,15,3,?,1,0,N
370,55,285496,1994-05-27,IL,100/300,2000,972.18,0,443920,MALE,High School,prof-specialty,paintball,other-relative,72700,-68200,SC,Hillsdale,2526 Embaracadero Ave,20,3,NO,0,17880,Y
413,55,115399,1991-02-08,IN,100/300,2000,1268.79,0,453148,MALE,MD,priv-house-serv,chess,own-child,0,-31000,WV,Northbend,5667 4th Drive,15,1,?,2,8180,Y
237,40,736882,1996-02-02,IN,100/300,1000,883.31,0,434733,MALE,College,craft-repair,kayaking,husband,0,-53500,VA,Riverwood,2502 Apache Hwy,6,1,NO,1,7080,N
8,35,699044,2013-12-05,OH,100/300,2000,1266.92,0,613982,MALE,Masters,sales,polo,own-child,0,0,OH,Arlington,3418 Texas Lane,16,3,NO,1,16500,Y
257,43,863236,1990-09-20,IN,100/300,2000,1322.1,0,436984,MALE,High School,prof-specialty,golf,own-child,0,-29200,PA,Arlington,2533 Elm St,4,1,YES,1,1640,N
202,34,608513,2002-07-18,IN,100/300,500,848.07,3000000,607730,MALE,JD,exec-managerial,chess,not-in-family,31000,-30200,VA,Northbrook,3790 Andromedia Hwy,5,1,YES,2,1040,Y
224,40,914088,1990-02-08,OH,100/300,2000,1291.7,0,609837,FEMALE,JD,sales,kayaking,not-in-family,0,-55600,SC,Northbend,3220 Rock Drive,21,1,NO,1,7760,N
241,45,596785,2014-03-04,IL,500/1000,2000,1104.5,0,432211,FEMALE,PhD,machine-op-inspct,basketball,unmarried,0,0,SC,Northbrook,2100 Francis Drive,5,1,NO,2,14100,N
64,25,908616,2000-02-18,IL,250/500,1000,954.16,0,473328,MALE,Masters,prof-specialty,video-games,husband,53200,0,SC,Columbus,4687 5th Drive,22,4,NO,0,12600,N
166,37,666333,2008-06-19,IL,100/300,2000,1337.28,8000000,610393,MALE,JD,craft-repair,reading,husband,27500,0,WV,Riverwood,9038 2nd Lane,10,3,NO,2,7460,Y
155,35,336614,2003-08-01,IL,500/1000,1000,1088.34,0,614780,FEMALE,Associate,adm-clerical,yachting,other-relative,81100,0,NY,Arlington,6092 5th Ave,16,3,YES,2,3310,N
114,30,584859,1992-04-04,IL,100/300,1000,1558.29,0,472248,MALE,High School,farming-fishing,video-games,wife,51400,-64000,NY,Hillsdale,8353 Britain Ridge,1,3,NO,1,14020,N
149,37,990493,1991-01-13,IL,500/1000,500,1415.68,0,603381,MALE,PhD,prof-specialty,yachting,own-child,0,0,WV,Hillsdale,3540 Maple St,17,1,YES,0,10800,N
147,33,129872,2010-08-08,OH,100/300,1000,1334.15,6000000,479224,MALE,High School,craft-repair,reading,not-in-family,53300,-49200,WV,Springfield,3104 Sky Drive,15,1,YES,2,10620,Y
62,28,200152,2003-03-09,IL,100/300,1000,988.45,0,430141,FEMALE,Masters,protective-serv,camping,unmarried,0,0,NY,Northbrook,4981 Weaver St,3,1,?,1,6020,Y
289,49,933293,1993-02-03,IL,500/1000,2000,1222.48,0,620757,FEMALE,JD,priv-house-serv,golf,unmarried,0,0,WV,Arlington,6676 Tree Lane,16,1,NO,1,1230,N
431,54,485664,2002-11-25,IN,500/1000,2000,1155.55,0,615901,FEMALE,MD,craft-repair,bungie-jumping,unmarried,65700,0,NY,Hillsdale,3930 Embaracadero St,4,3,?,2,12460,N
199,37,982871,1997-07-27,IN,250/500,500,1262.08,0,474615,MALE,JD,tech-support,video-games,wife,48500,0,NC,Columbus,3422 Flute St,4,1,?,0,10940,Y
79,26,206213,1995-05-08,IL,100/300,500,1451.62,0,456446,MALE,Associate,tech-support,kayaking,not-in-family,0,-55700,WV,Columbus,4862 Lincoln Hwy,19,1,NO,2,8000,N
116,34,616337,2012-08-30,IN,250/500,500,1737.66,0,470577,MALE,Associate,transport-moving,chess,unmarried,0,-24100,WV,Northbrook,5719 2nd Lane,1,1,?,1,16180,Y
37,23,448961,2006-04-30,IL,500/1000,500,1475.93,0,441648,FEMALE,College,prof-specialty,hiking,husband,0,-67400,SC,Springfield,3221 Solo Ridge,17,3,YES,1,5740,N
106,30,790442,2003-04-13,OH,250/500,500,538.17,0,433782,FEMALE,PhD,transport-moving,reading,own-child,49700,-60200,NC,Arlington,6660 MLK Drive,23,1,NO,2,5680,N
269,44,108844,2007-12-05,IL,100/300,2000,1081.08,0,468104,MALE,JD,priv-house-serv,reading,unmarried,36400,-28700,SC,Springfield,1699 Oak Drive,14,1,YES,0,11280,N
265,40,430029,2006-08-21,IL,250/500,1000,1454.43,0,459407,FEMALE,MD,protective-serv,yachting,husband,0,0,NY,Arlington,4234 Cherokee Lane,17,3,NO,2,6890,N
163,33,529112,1990-01-08,IN,100/300,500,1240.47,0,472573,FEMALE,Associate,other-service,polo,husband,35300,0,NC,Northbend,7476 4th St,11,3,YES,1,0,N
355,47,939631,1990-03-18,OH,500/1000,2000,1273.7,4000000,433473,MALE,College,other-service,kayaking,husband,0,0,WV,Arlington,8907 Tree Ave,19,3,NO,2,6280,Y
175,34,866931,2008-01-07,IN,500/1000,1000,1123.87,8000000,446326,FEMALE,PhD,protective-serv,dancing,other-relative,0,0,NY,Arlington,6619 Flute Ave,5,1,?,2,810,N
192,35,582011,1997-03-10,IL,100/300,1000,1245.89,0,435481,FEMALE,Masters,exec-managerial,movies,wife,0,-40300,WV,Springfield,6011 Britain St,19,1,NO,0,15320,N
430,59,691189,2004-01-10,OH,250/500,2000,1326.62,7000000,477310,MALE,MD,other-service,bungie-jumping,own-child,0,0,NY,Riverwood,5104 Francis Drive,19,3,?,0,16360,N
91,27,537546,1994-08-20,IL,100/300,2000,1073.83,0,609930,FEMALE,JD,farming-fishing,polo,husband,0,0,NY,Arlington,2280 4th Ave,4,1,?,1,1320,N
217,39,394975,2002-06-02,IN,100/300,1000,1530.52,0,603993,MALE,College,armed-forces,basketball,not-in-family,0,0,WV,Northbend,2644 Elm Drive,8,1,?,2,430,N
223,40,729634,1994-04-28,IN,100/300,500,1201.41,0,437818,FEMALE,JD,priv-house-serv,movies,husband,88400,-46500,NC,Columbus,7466 MLK Ridge,7,3,YES,1,12820,N
195,39,282195,2014-08-17,OH,250/500,1000,1393.57,0,478423,MALE,PhD,machine-op-inspct,movies,not-in-family,47600,-39600,VA,Northbend,5821 2nd St,5,1,NO,0,480,N
22,26,420810,2007-08-11,OH,100/300,1000,1276.57,0,467784,MALE,PhD,craft-repair,skydiving,not-in-family,71500,0,NY,Arlington,6723 Best Drive,3,1,YES,1,15780,N
439,56,524836,2008-11-20,IN,250/500,500,1082.49,0,606714,FEMALE,PhD,prof-specialty,chess,unmarried,36100,-55000,SC,Columbus,4866 4th Hwy,12,3,?,2,0,N
94,32,307195,1995-10-18,IN,500/1000,1000,1414.74,0,464691,FEMALE,Masters,adm-clerical,hiking,own-child,0,0,VA,Riverwood,5418 Britain Ave,19,1,NO,1,300,N
11,39,623648,1993-05-19,IL,250/500,2000,1470.06,0,431683,MALE,PhD,other-service,yachting,husband,56600,-45800,WV,Riverwood,4296 Pine Hwy,22,1,YES,0,7310,N
151,36,485372,2005-02-26,OH,250/500,2000,870.63,0,431725,FEMALE,MD,adm-clerical,kayaking,own-child,94800,-58500,VA,Hillsdale,2299 1st St,12,3,NO,1,11440,N
154,34,598554,1990-02-14,IN,100/300,500,795.23,0,609216,MALE,PhD,machine-op-inspct,base-jumping,other-relative,36900,0,NY,Springfield,6618 Cherokee Drive,15,3,YES,2,15440,Y
245,44,303987,1993-09-30,IL,500/1000,1000,1168.2,0,452787,MALE,JD,handlers-cleaners,basketball,husband,69100,0,OH,Springfield,7459 Flute St,23,3,NO,0,7380,N
119,32,343161,2014-06-10,IL,500/1000,1000,993.51,0,468767,MALE,High School,armed-forces,bungie-jumping,unmarried,0,-49500,WV,Hillsdale,3567 4th Drive,12,1,NO,0,5630,N
215,42,519312,2008-10-28,OH,500/1000,500,1848.81,0,435489,MALE,JD,transport-moving,video-games,own-child,0,-49000,WV,Northbend,2457 Washington Ave,20,3,YES,2,11420,Y
295,42,132902,2007-04-24,OH,250/500,2000,1641.73,5000000,450149,MALE,PhD,sales,chess,not-in-family,62400,0,VA,Riverwood,1269 Flute Drive,16,3,NO,0,6570,Y
254,39,332867,1993-12-13,IN,100/300,500,1362.87,0,458364,FEMALE,MD,exec-managerial,chess,other-relative,35700,0,NY,Arlington,1218 Sky Hwy,6,3,YES,2,13720,Y
107,31,356590,2011-08-17,IN,250/500,500,1239.22,7000000,476458,FEMALE,High School,tech-support,paintball,not-in-family,43400,-91200,SC,Springfield,9169 Pine Ridge,12,1,YES,0,13800,Y
478,64,346002,1990-08-20,OH,250/500,500,835.02,0,602433,FEMALE,Associate,adm-clerical,reading,unmarried,59600,0,WV,Hillsdale,8538 Texas Lane,17,3,NO,1,0,N
128,30,500533,1994-02-11,OH,100/300,1000,1061.33,0,478575,MALE,MD,machine-op-inspct,movies,own-child,43300,-66200,WV,Northbrook,5783 Oak Ave,8,1,NO,0,12460,N
338,49,348209,1994-02-22,IN,500/1000,1000,1279.08,0,449718,MALE,MD,other-service,kayaking,own-child,0,-51500,NC,Riverwood,7721 Washington Ridge,13,1,NO,0,860,N
271,42,486676,2011-08-15,OH,100/300,500,1105.49,0,463181,FEMALE,Associate,prof-specialty,sleeping,own-child,56200,-50000,SC,Hillsdale,8006 Maple Hwy,12,2,?,2,12420,Y
222,41,260845,1998-11-11,OH,100/300,2000,1055.53,0,441992,FEMALE,MD,armed-forces,cross-fit,not-in-family,37800,-50300,WV,Northbrook,6751 Pine Ridge,7,1,NO,0,6810,Y
199,41,657045,1995-12-04,OH,250/500,1000,895.83,0,452597,FEMALE,Associate,sales,paintball,husband,0,0,NC,Arlington,2324 Texas Ridge,10,1,NO,1,3010,N
215,37,761189,2002-12-28,IN,100/300,500,1632.93,0,614417,FEMALE,College,transport-moving,golf,not-in-family,0,-42900,SC,Riverwood,7923 Elm Ave,7,3,NO,2,9520,N
192,40,175177,2004-04-15,IL,100/300,1000,1405.99,0,472895,FEMALE,Associate,sales,yachting,wife,0,0,VA,Springfield,4755 Best Lane,18,3,YES,1,9540,N
120,35,116700,2001-02-02,OH,100/300,1000,1425.54,0,475847,FEMALE,High School,transport-moving,bungie-jumping,other-relative,78300,0,SC,Riverwood,5053 Tree Drive,22,3,NO,2,11380,N
270,45,166264,2010-01-12,OH,500/1000,1000,1038.09,0,476978,FEMALE,College,handlers-cleaners,golf,husband,0,-19700,NY,Springfield,2078 3rd Ave,18,3,NO,1,14900,N
319,47,527945,1992-04-14,IN,250/500,500,1307.11,0,600648,MALE,College,transport-moving,dancing,not-in-family,0,0,WV,Northbrook,2804 Best St,22,3,NO,0,10860,N
194,39,627540,2010-05-21,OH,500/1000,1000,1489.24,6000000,608335,FEMALE,JD,other-service,kayaking,wife,0,-45000,SC,Springfield,7877 Sky Lane,15,1,YES,2,1240,N
227,38,279422,2013-10-27,OH,500/1000,500,976.67,0,471600,FEMALE,PhD,handlers-cleaners,polo,unmarried,0,0,SC,Northbrook,6530 Weaver Ave,16,1,?,1,14440,Y
137,31,484200,1994-10-12,OH,250/500,2000,1340.43,0,441175,MALE,High School,exec-managerial,paintball,husband,52700,-40600,NC,Arlington,3087 Oak Hwy,6,3,NO,1,10160,N
244,40,645258,1997-07-04,OH,500/1000,2000,1267.81,5000000,603123,FEMALE,Masters,exec-managerial,video-games,wife,0,0,NC,Northbrook,7098 Lincoln Hwy,10,1,?,2,660,N
78,29,694662,2011-02-15,IL,250/500,1000,1234.2,6000000,457767,MALE,Masters,other-service,bungie-jumping,other-relative,0,0,NY,Northbrook,5124 Maple St,3,1,YES,2,750,N
200,35,960680,1994-08-21,IN,250/500,2000,1318.06,0,618498,MALE,High School,exec-managerial,video-games,wife,57300,-80600,VA,Hillsdale,2333 Maple Lane,13,1,NO,0,1180,N
284,48,498140,1997-05-15,IN,500/1000,2000,769.95,0,605486,MALE,Masters,prof-specialty,movies,not-in-family,0,-44200,NY,Hillsdale,1012 5th Lane,16,2,?,2,5540,Y
275,41,498875,1996-10-26,OH,100/300,2000,1514.72,0,617970,MALE,High School,transport-moving,board-games,own-child,35700,0,NY,Northbrook,7477 MLK Drive,13,3,YES,0,5830,N
153,34,798177,2006-03-04,IL,500/1000,1000,873.64,4000000,432934,FEMALE,Associate,priv-house-serv,yachting,husband,800,0,SC,Columbus,9489 3rd St,9,3,NO,2,11400,N
134,32,614763,1991-01-02,IL,500/1000,500,1612.43,0,456762,FEMALE,MD,other-service,yachting,own-child,36400,0,VA,Springfield,2087 Apache Ave,2,1,?,2,11680,N
31,36,679370,1999-08-15,IL,500/1000,2000,1318.24,9000000,601748,FEMALE,College,prof-specialty,kayaking,not-in-family,0,-78600,WV,Arlington,5540 Sky St,9,1,NO,0,940,N
41,25,958857,1992-01-15,IN,100/300,1000,1226.83,0,607763,FEMALE,College,exec-managerial,exercise,not-in-family,0,-56100,SC,Columbus,7238 2nd St,12,3,YES,2,0,Y
127,29,686816,1999-12-07,OH,250/500,2000,1326.44,5000000,436973,FEMALE,High School,sales,board-games,own-child,0,0,SC,Arlington,8442 Britain Hwy,12,2,YES,1,10300,N
61,23,127754,1993-06-06,IL,250/500,2000,1136.83,4000000,471300,FEMALE,Associate,tech-support,exercise,own-child,0,-62400,NY,Columbus,1331 Britain Hwy,14,1,NO,0,8940,Y
207,42,918629,2000-10-03,IL,250/500,2000,1322.78,0,453277,MALE,PhD,farming-fishing,yachting,own-child,55200,0,WV,Springfield,5260 Francis Drive,9,1,NO,0,590,N
219,43,731450,2010-12-29,IN,100/300,1000,1483.25,0,465100,FEMALE,MD,exec-managerial,exercise,not-in-family,90700,-20800,NC,Riverwood,1135 Solo Lane,3,3,NO,1,5890,N
271,42,307447,1990-03-17,IL,100/300,500,1515.3,0,603248,FEMALE,High School,machine-op-inspct,hiking,not-in-family,0,0,SC,Northbend,9737 Solo Hwy,21,3,NO,1,17040,N
80,25,992145,2012-03-01,IL,100/300,2000,1075.18,5000000,601112,FEMALE,PhD,armed-forces,exercise,husband,67700,-58400,OH,Northbrook,3289 Britain Drive,5,1,NO,2,1260,N
325,47,900628,2006-02-05,IN,500/1000,1000,1690.27,0,438830,FEMALE,Associate,protective-serv,hiking,not-in-family,61500,0,VA,Springfield,6550 Andromedia St,11,1,YES,0,6630,Y
29,25,235220,2014-11-01,IL,250/500,2000,1352.83,0,464959,MALE,Masters,farming-fishing,skydiving,own-child,0,-71700,SC,Hillsdale,1679 2nd Hwy,4,4,YES,1,7210,Y
295,48,740019,2009-06-17,OH,250/500,1000,1148.73,0,439787,FEMALE,College,machine-op-inspct,kayaking,wife,0,0,WV,Columbus,3998 Flute St,6,1,?,1,900,N
239,42,246882,1999-09-20,IL,100/300,1000,969.5,0,464839,MALE,College,exec-managerial,reading,not-in-family,0,0,NC,Northbrook,2430 MLK Ave,10,1,NO,0,700,N
269,41,797613,1990-10-19,IN,100/300,500,1463.82,0,448984,FEMALE,College,protective-serv,yachting,not-in-family,0,-72300,SC,Northbend,7717 Britain Hwy,23,1,YES,0,15860,N
80,27,193442,1996-08-05,IL,100/300,1000,1474.17,0,440327,FEMALE,College,tech-support,exercise,unmarried,0,0,WV,Northbend,7773 Tree Hwy,13,1,YES,1,10560,N
279,41,389238,2001-06-06,IL,250/500,500,1497.35,0,460742,FEMALE,JD,prof-specialty,bungie-jumping,husband,37300,-31700,NC,Northbrook,2199 Texas Drive,16,3,?,2,0,N
165,33,760179,2007-03-25,OH,100/300,1000,1427.14,0,446895,FEMALE,Associate,tech-support,kayaking,other-relative,35300,-58100,WV,Northbend,1028 Sky Lane,3,1,NO,1,330,N
350,54,939905,2013-10-31,OH,500/1000,500,1495.1,0,609374,MALE,College,other-service,basketball,wife,50500,0,SC,Northbend,4154 Lincoln Hwy,15,3,NO,0,15580,N
295,49,872814,1992-06-13,IL,100/300,500,1141.62,0,451672,MALE,College,prof-specialty,kayaking,husband,34300,-24300,WV,Columbus,8085 Andromedia St,4,1,YES,1,480,N
464,61,632627,1990-10-07,OH,500/1000,1000,1125.37,0,604450,FEMALE,Associate,prof-specialty,basketball,husband,0,-56400,VA,Northbend,4793 4th Ridge,6,3,?,0,6650,Y
118,28,283414,1991-12-28,IN,500/1000,2000,1207.36,0,432896,FEMALE,High School,handlers-cleaners,camping,own-child,0,-57000,WV,Columbus,7428 Sky Hwy,22,2,NO,1,7420,N
298,47,163161,1998-11-11,IL,500/1000,2000,1338.5,0,618929,FEMALE,PhD,machine-op-inspct,basketball,other-relative,28800,0,NY,Northbrook,2306 5th Lane,1,1,?,0,10860,Y
87,31,853360,2009-06-26,IN,500/1000,1000,1074.07,0,451312,FEMALE,Masters,sales,chess,husband,0,-47500,NY,Springfield,3052 Weaver Ridge,16,3,NO,0,5540,Y
261,42,776860,2009-01-11,OH,250/500,500,1337.56,0,605141,FEMALE,College,prof-specialty,video-games,unmarried,0,0,SC,Riverwood,5211 Weaver Drive,18,1,?,1,7470,N
453,60,149367,2003-03-18,IN,100/300,500,1298.91,6000000,459504,MALE,PhD,craft-repair,dancing,unmarried,52600,-38800,NC,Springfield,7253 MLK St,0,1,YES,0,14000,Y
210,41,395269,2012-11-02,IL,500/1000,500,1222.75,0,432781,MALE,High School,exec-managerial,polo,other-relative,0,-41000,WV,Columbus,1454 5th Ridge,12,3,?,2,14740,N
168,32,981123,2000-05-04,IN,100/300,1000,1059.52,0,452748,MALE,MD,protective-serv,camping,own-child,0,-40600,VA,Hillsdale,5622 Best Ridge,13,2,?,1,14430,N
390,51,143626,1999-09-29,OH,250/500,2000,1124.38,0,618316,MALE,Associate,armed-forces,reading,other-relative,0,0,VA,Northbrook,4574 Britain Hwy,9,1,YES,1,1180,N
258,46,648397,1999-03-09,IN,100/300,1000,1110.37,10000000,455365,MALE,MD,machine-op-inspct,hiking,other-relative,34400,-56800,NY,Riverwood,4539 Texas St,14,3,NO,0,4770,Y
107,31,154982,1991-02-13,IL,500/1000,2000,1374.22,0,470603,FEMALE,PhD,machine-op-inspct,bungie-jumping,other-relative,62000,-63100,SC,Hillsdale,8118 Elm Ridge,16,1,NO,0,9320,N
225,41,330591,1993-08-05,OH,500/1000,2000,1103.58,0,475292,MALE,High School,exec-managerial,exercise,unmarried,41200,-36200,NY,Northbend,3814 Britain Drive,20,3,?,2,6400,Y
164,38,319232,1997-10-31,IL,250/500,2000,1269.76,0,467743,FEMALE,PhD,transport-moving,yachting,not-in-family,44300,0,NY,Hillsdale,4614 MLK Ave,4,1,NO,1,18000,N
245,39,531640,2001-04-21,OH,250/500,500,964.79,8000000,460675,FEMALE,Associate,adm-clerical,camping,husband,58000,0,NY,Arlington,1628 Best Drive,7,3,?,0,13240,N
255,41,368050,2013-01-08,IL,500/1000,2000,1167.3,4000000,618123,MALE,High School,priv-house-serv,board-games,other-relative,0,0,SC,Hillsdale,8381 Solo Hwy,22,1,NO,2,13860,N
206,36,253791,2009-07-23,IL,500/1000,500,1625.45,4000000,607452,FEMALE,MD,other-service,video-games,other-relative,0,-53700,NY,Northbrook,2100 MLK St,11,1,NO,2,12760,Y
203,38,155724,1998-02-20,IL,250/500,500,1394.43,0,606352,FEMALE,Masters,other-service,skydiving,not-in-family,0,0,VA,Columbus,5071 Flute Ridge,7,1,?,0,0,Y
22,25,824540,2008-03-13,OH,250/500,2000,1053.24,0,603527,FEMALE,College,prof-specialty,movies,other-relative,51100,0,NC,Arlington,7551 Britain Lane,0,4,YES,1,8570,N
211,35,717392,1996-08-20,IL,100/300,500,1040.75,0,445601,FEMALE,JD,prof-specialty,paintball,not-in-family,0,0,WV,Northbend,2275 Best Lane,1,1,YES,1,7000,N
206,39,965768,2014-07-27,IN,250/500,1000,1302.4,6000000,603948,MALE,JD,craft-repair,dancing,unmarried,47200,-69700,NY,Hillsdale,1598 3rd Drive,12,3,NO,2,3300,N
166,38,414779,1992-11-09,IL,100/300,2000,1588.55,0,435758,MALE,MD,protective-serv,video-games,unmarried,59600,-32100,WV,Columbus,7740 MLK St,8,1,NO,0,5760,N
165,32,428230,2012-06-04,IN,500/1000,500,1399.26,0,611586,FEMALE,High School,tech-support,exercise,own-child,70500,0,PA,Northbrook,1240 Tree Lane,9,1,?,2,330,N
274,43,517240,2001-05-13,OH,100/300,2000,1352.31,0,465263,MALE,College,farming-fishing,basketball,wife,40700,-47300,NY,Northbend,8983 Francis Ridge,22,1,YES,0,10640,Y
81,28,469874,2011-09-17,IL,250/500,1000,1139.0,6000000,617858,FEMALE,Masters,sales,sleeping,husband,42400,0,SC,Northbend,7756 Solo Drive,0,3,?,1,4970,Y
280,45,718428,2011-07-15,IN,250/500,1000,1397.67,0,607889,MALE,JD,machine-op-inspct,camping,wife,57900,0,NY,Arlington,9034 Weaver Ridge,0,3,YES,1,14120,N
194,39,620215,2005-07-27,IN,250/500,500,823.17,0,455689,MALE,Masters,adm-clerical,paintball,own-child,0,0,WV,Columbus,1126 Texas Hwy,3,3,?,2,6150,N
112,27,618659,2005-10-18,OH,100/300,500,965.13,0,450341,FEMALE,Masters,tech-support,exercise,unmarried,60000,-54800,NC,Arlington,2808 Elm St,21,3,?,0,8500,N
24,33,649082,1996-01-19,IL,500/1000,1000,1922.84,0,431277,FEMALE,High School,machine-op-inspct,skydiving,wife,0,-45200,WV,Northbend,5061 Francis Ave,0,1,?,2,4680,N
93,32,437573,2005-09-29,OH,250/500,2000,1624.82,0,454656,MALE,PhD,exec-managerial,basketball,unmarried,65300,-65600,WV,Northbend,4965 MLK Drive,16,1,?,1,17360,N
171,34,964657,1997-02-18,IN,250/500,2000,1277.25,0,605169,FEMALE,College,exec-managerial,yachting,other-relative,84900,0,NY,Springfield,8668 Flute St,14,1,NO,1,13840,Y
200,40,932502,2010-05-11,IL,100/300,1000,1439.34,0,444822,FEMALE,High School,sales,exercise,other-relative,45300,-20400,VA,Riverwood,2577 Washington Drive,9,1,?,0,410,N
120,28,434507,2009-02-06,IL,250/500,1000,1281.27,0,447442,FEMALE,PhD,tech-support,golf,not-in-family,68900,0,SC,Springfield,7709 Rock Lane,9,3,NO,0,6550,N
325,46,935277,2013-07-09,IL,500/1000,500,1348.83,0,474360,FEMALE,High School,prof-specialty,basketball,wife,46300,-77500,NC,Springfield,9358 Texas Ridge,21,3,?,1,13840,N
124,32,756054,1992-06-06,IL,250/500,1000,1198.15,0,447925,FEMALE,MD,other-service,hiking,not-in-family,0,-43200,VA,Springfield,8080 Oak Lane,19,3,NO,0,12260,N
211,35,682387,1998-03-08,OH,100/300,2000,1221.22,0,451586,MALE,Masters,machine-op-inspct,camping,other-relative,76000,0,NY,Northbend,6408 Weaver Ridge,2,1,YES,0,9460,N
287,41,456604,2004-03-29,IL,500/1000,2000,968.74,0,477519,MALE,Masters,transport-moving,video-games,wife,0,-49000,SC,Northbrook,5532 Weaver Ridge,9,1,?,2,470,N
122,34,139872,2006-06-01,IN,250/500,1000,1220.71,0,603639,MALE,PhD,machine-op-inspct,video-games,own-child,58600,-28700,SC,Northbend,9101 2nd Hwy,5,1,?,2,1890,N
